source	target	weight
tgn,7014345	tgn,7017708	10
tgn,7014345	tgn,7017649	2
tgn,7014345	tgn,7017498	3
tgn,7014345	tgn,7017496	3
tgn,7014345	tgn,7017444	3
tgn,7014345	tgn,7016154	12
tgn,7014345	tgn,7016129	1
tgn,7014345	tgn,7014729	19
tgn,7014345	tgn,7014664	3
tgn,7014345	tgn,7014631	15
tgn,7014345	tgn,7014629	5
tgn,7014345	tgn,7014620	2
tgn,7014345	tgn,7014487	18
tgn,7014345	tgn,7014456	1
tgn,7014345	tgn,7014444	24
tgn,7014345	tgn,7014406	9
tgn,7014345	tgn,7014404	2
tgn,7014345	tgn,7014345	153
tgn,7014299	tgn,7021610	2
tgn,7014299	tgn,7018995	4
tgn,7014299	tgn,7018023	10
tgn,7014299	tgn,7017751	2
tgn,7014299	tgn,7017750	8
tgn,7014299	tgn,7017708	22
tgn,7014299	tgn,7017649	4
tgn,7014299	tgn,7017544	1
tgn,7014299	tgn,7017498	17
tgn,7014299	tgn,7017496	38
tgn,7014299	tgn,7017444	8
tgn,7014299	tgn,7016154	9
tgn,7014299	tgn,7016129	12
tgn,7014299	tgn,7014729	8
tgn,7014299	tgn,7014664	1
tgn,7014299	tgn,7014631	1
tgn,7014299	tgn,7014629	3
tgn,7014299	tgn,7014620	2
tgn,7014299	tgn,7014538	15
tgn,7014299	tgn,7014487	1
tgn,7014299	tgn,7014456	1
tgn,7014299	tgn,7014444	9
tgn,7014299	tgn,7014406	12
tgn,7014299	tgn,7014404	28
tgn,7014299	tgn,7014299	75
tgn,7014278	tgn,7021610	14
tgn,7014278	tgn,7018995	8
tgn,7014278	tgn,7018023	28
tgn,7014278	tgn,7017751	5
tgn,7014278	tgn,7017750	26
tgn,7014278	tgn,7017708	8
tgn,7014278	tgn,7017649	38
tgn,7014278	tgn,7017544	2
tgn,7014278	tgn,7017498	21
tgn,7014278	tgn,7017496	21
tgn,7014278	tgn,7017444	13
tgn,7014278	tgn,7016154	43
tgn,7014278	tgn,7016129	2
tgn,7014278	tgn,7014729	21
tgn,7014278	tgn,7014664	9
tgn,7014278	tgn,7014631	20
tgn,7014278	tgn,7014629	13
tgn,7014278	tgn,7014620	15
tgn,7014278	tgn,7014538	12
tgn,7014278	tgn,7014487	28
tgn,7014278	tgn,7014456	11
tgn,7014278	tgn,7014444	26
tgn,7014278	tgn,7014406	64
tgn,7014278	tgn,7014404	115
tgn,7014278	tgn,7014345	14
tgn,7014278	tgn,7014299	10
tgn,7014278	tgn,7014278	287
tgn,7014231	tgn,7021610	91
tgn,7014231	tgn,7018995	162
tgn,7014231	tgn,7018023	283
tgn,7014231	tgn,7017751	16
tgn,7014231	tgn,7017750	207
tgn,7014231	tgn,7017708	192
tgn,7014231	tgn,7017649	213
tgn,7014231	tgn,7017544	19
tgn,7014231	tgn,7017498	48
tgn,7014231	tgn,7017496	98
tgn,7014231	tgn,7017444	120
tgn,7014231	tgn,7016154	256
tgn,7014231	tgn,7016129	45
tgn,7014231	tgn,7014729	69
tgn,7014231	tgn,7014664	74
tgn,7014231	tgn,7014631	108
tgn,7014231	tgn,7014629	176
tgn,7014231	tgn,7014620	113
tgn,7014231	tgn,7014538	42
tgn,7014231	tgn,7014487	212
tgn,7014231	tgn,7014456	52
tgn,7014231	tgn,7014444	164
tgn,7014231	tgn,7014406	479
tgn,7014231	tgn,7014404	443
tgn,7014231	tgn,7014345	269
tgn,7014231	tgn,7014299	24
tgn,7014231	tgn,7014278	1008
tgn,7014231	tgn,7014231	2487
tgn,7014197	tgn,7021610	1
tgn,7014197	tgn,7018995	25
tgn,7014197	tgn,7018023	72
tgn,7014197	tgn,7017751	13
tgn,7014197	tgn,7017750	74
tgn,7014197	tgn,7017708	53
tgn,7014197	tgn,7017649	63
tgn,7014197	tgn,7017544	20
tgn,7014197	tgn,7017498	47
tgn,7014197	tgn,7017496	19
tgn,7014197	tgn,7017444	13
tgn,7014197	tgn,7016154	32
tgn,7014197	tgn,7016129	11
tgn,7014197	tgn,7014729	6
tgn,7014197	tgn,7014664	14
tgn,7014197	tgn,7014631	70
tgn,7014197	tgn,7014629	11
tgn,7014197	tgn,7014620	2
tgn,7014197	tgn,7014538	9
tgn,7014197	tgn,7014487	26
tgn,7014197	tgn,7014456	12
tgn,7014197	tgn,7014444	49
tgn,7014197	tgn,7014406	46
tgn,7014197	tgn,7014404	38
tgn,7014197	tgn,7014345	65
tgn,7014197	tgn,7014278	20
tgn,7014197	tgn,7014231	237
tgn,7014197	tgn,7014197	492
tgn,7014175	tgn,7021610	4
tgn,7014175	tgn,7018995	41
tgn,7014175	tgn,7018023	221
tgn,7014175	tgn,7017751	27
tgn,7014175	tgn,7017750	85
tgn,7014175	tgn,7017708	16
tgn,7014175	tgn,7017649	44
tgn,7014175	tgn,7017544	20
tgn,7014175	tgn,7017498	6
tgn,7014175	tgn,7017496	181
tgn,7014175	tgn,7017444	29
tgn,7014175	tgn,7016154	6
tgn,7014175	tgn,7016129	14
tgn,7014175	tgn,7014729	12
tgn,7014175	tgn,7014664	13
tgn,7014175	tgn,7014631	7
tgn,7014175	tgn,7014629	6
tgn,7014175	tgn,7014620	6
tgn,7014175	tgn,7014538	3
tgn,7014175	tgn,7014487	20
tgn,7014175	tgn,7014456	12
tgn,7014175	tgn,7014444	25
tgn,7014175	tgn,7014406	26
tgn,7014175	tgn,7014404	18
tgn,7014175	tgn,7014345	24
tgn,7014175	tgn,7014299	6
tgn,7014175	tgn,7014278	5
tgn,7014175	tgn,7014231	101
tgn,7014175	tgn,7014197	25
tgn,7014175	tgn,7014175	340
tgn,7014060	tgn,7018995	26
tgn,7014060	tgn,7018023	290
tgn,7014060	tgn,7017751	1
tgn,7014060	tgn,7017750	21
tgn,7014060	tgn,7017708	167
tgn,7014060	tgn,7017649	15
tgn,7014060	tgn,7017544	30
tgn,7014060	tgn,7017498	1
tgn,7014060	tgn,7017496	51
tgn,7014060	tgn,7017444	11
tgn,7014060	tgn,7016154	82
tgn,7014060	tgn,7016129	12
tgn,7014060	tgn,7014729	4
tgn,7014060	tgn,7014664	4
tgn,7014060	tgn,7014631	15
tgn,7014060	tgn,7014629	1
tgn,7014060	tgn,7014620	5
tgn,7014060	tgn,7014538	16
tgn,7014060	tgn,7014487	6
tgn,7014060	tgn,7014456	2
tgn,7014060	tgn,7014444	12
tgn,7014060	tgn,7014406	110
tgn,7014060	tgn,7014404	15
tgn,7014060	tgn,7014299	14
tgn,7014060	tgn,7014278	11
tgn,7014060	tgn,7014231	52
tgn,7014060	tgn,7014197	8
tgn,7014060	tgn,7014175	9
tgn,7014060	tgn,7014060	379
tgn,7013988	tgn,7021610	11
tgn,7013988	tgn,7018995	34
tgn,7013988	tgn,7018023	62
tgn,7013988	tgn,7017751	16
tgn,7013988	tgn,7017750	37
tgn,7013988	tgn,7017708	167
tgn,7013988	tgn,7017649	30
tgn,7013988	tgn,7017544	2
tgn,7013988	tgn,7017498	3
tgn,7013988	tgn,7017496	30
tgn,7013988	tgn,7017444	23
tgn,7013988	tgn,7016154	145
tgn,7013988	tgn,7016129	45
tgn,7013988	tgn,7014729	7
tgn,7013988	tgn,7014664	18
tgn,7013988	tgn,7014631	16
tgn,7013988	tgn,7014629	28
tgn,7013988	tgn,7014620	21
tgn,7013988	tgn,7014538	16
tgn,7013988	tgn,7014487	45
tgn,7013988	tgn,7014456	22
tgn,7013988	tgn,7014444	68
tgn,7013988	tgn,7014406	137
tgn,7013988	tgn,7014404	21
tgn,7013988	tgn,7014345	4
tgn,7013988	tgn,7014299	23
tgn,7013988	tgn,7014278	14
tgn,7013988	tgn,7014231	126
tgn,7013988	tgn,7014197	22
tgn,7013988	tgn,7014175	9
tgn,7013988	tgn,7014060	15
tgn,7013988	tgn,7013988	412
tgn,7013981	tgn,7021610	22
tgn,7013981	tgn,7018995	23
tgn,7013981	tgn,7018023	22
tgn,7013981	tgn,7017750	54
tgn,7013981	tgn,7017708	68
tgn,7013981	tgn,7017649	26
tgn,7013981	tgn,7017544	2
tgn,7013981	tgn,7017498	32
tgn,7013981	tgn,7017496	54
tgn,7013981	tgn,7017444	36
tgn,7013981	tgn,7016154	54
tgn,7013981	tgn,7016129	24
tgn,7013981	tgn,7014729	66
tgn,7013981	tgn,7014664	6
tgn,7013981	tgn,7014631	30
tgn,7013981	tgn,7014629	59
tgn,7013981	tgn,7014620	71
tgn,7013981	tgn,7014538	96
tgn,7013981	tgn,7014487	51
tgn,7013981	tgn,7014456	6
tgn,7013981	tgn,7014444	20
tgn,7013981	tgn,7014406	49
tgn,7013981	tgn,7014404	149
tgn,7013981	tgn,7014299	14
tgn,7013981	tgn,7014278	60
tgn,7013981	tgn,7014231	151
tgn,7013981	tgn,7014197	4
tgn,7013981	tgn,7014175	10
tgn,7013981	tgn,7014060	2
tgn,7013981	tgn,7013988	34
tgn,7013981	tgn,7013981	233
tgn,7013980	tgn,7021610	12
tgn,7013980	tgn,7018995	4
tgn,7013980	tgn,7018023	6
tgn,7013980	tgn,7017750	5
tgn,7013980	tgn,7017708	3
tgn,7013980	tgn,7017649	2
tgn,7013980	tgn,7017544	2
tgn,7013980	tgn,7017498	20
tgn,7013980	tgn,7017496	16
tgn,7013980	tgn,7017444	15
tgn,7013980	tgn,7016154	3
tgn,7013980	tgn,7016129	5
tgn,7013980	tgn,7014729	7
tgn,7013980	tgn,7014664	3
tgn,7013980	tgn,7014631	11
tgn,7013980	tgn,7014620	2
tgn,7013980	tgn,7014538	3
tgn,7013980	tgn,7014487	27
tgn,7013980	tgn,7014456	2
tgn,7013980	tgn,7014444	8
tgn,7013980	tgn,7014406	10
tgn,7013980	tgn,7014404	12
tgn,7013980	tgn,7014278	15
tgn,7013980	tgn,7014231	26
tgn,7013980	tgn,7014197	4
tgn,7013980	tgn,7014175	3
tgn,7013980	tgn,7014060	1
tgn,7013980	tgn,7013988	6
tgn,7013980	tgn,7013981	10
tgn,7013980	tgn,7013980	23
tgn,7013972	tgn,7021610	692
tgn,7013972	tgn,7018995	46
tgn,7013972	tgn,7018023	74
tgn,7013972	tgn,7017750	91
tgn,7013972	tgn,7017708	32
tgn,7013972	tgn,7017649	33
tgn,7013972	tgn,7017544	2
tgn,7013972	tgn,7017498	44
tgn,7013972	tgn,7017496	28
tgn,7013972	tgn,7017444	293
tgn,7013972	tgn,7016154	55
tgn,7013972	tgn,7016129	8
tgn,7013972	tgn,7014729	3
tgn,7013972	tgn,7014664	21
tgn,7013972	tgn,7014631	34
tgn,7013972	tgn,7014629	5
tgn,7013972	tgn,7014620	21
tgn,7013972	tgn,7014538	3
tgn,7013972	tgn,7014487	142
tgn,7013972	tgn,7014456	9
tgn,7013972	tgn,7014444	54
tgn,7013972	tgn,7014406	114
tgn,7013972	tgn,7014404	12
tgn,7013972	tgn,7014345	8
tgn,7013972	tgn,7014278	15
tgn,7013972	tgn,7014231	101
tgn,7013972	tgn,7014197	4
tgn,7013972	tgn,7014175	14
tgn,7013972	tgn,7014060	2
tgn,7013972	tgn,7013988	9
tgn,7013972	tgn,7013981	32
tgn,7013972	tgn,7013980	12
tgn,7013972	tgn,7013972	483
tgn,7013964	tgn,7021610	184
tgn,7013964	tgn,7018995	481
tgn,7013964	tgn,7018023	1566
tgn,7013964	tgn,7017751	129
tgn,7013964	tgn,7017750	976
tgn,7013964	tgn,7017708	1297
tgn,7013964	tgn,7017649	876
tgn,7013964	tgn,7017544	112
tgn,7013964	tgn,7017498	686
tgn,7013964	tgn,7017496	543
tgn,7013964	tgn,7017444	711
tgn,7013964	tgn,7016154	1143
tgn,7013964	tgn,7016129	544
tgn,7013964	tgn,7014729	570
tgn,7013964	tgn,7014664	1533
tgn,7013964	tgn,7014631	480
tgn,7013964	tgn,7014629	838
tgn,7013964	tgn,7014620	685
tgn,7013964	tgn,7014538	789
tgn,7013964	tgn,7014487	604
tgn,7013964	tgn,7014456	208
tgn,7013964	tgn,7014444	566
tgn,7013964	tgn,7014406	1838
tgn,7013964	tgn,7014404	2022
tgn,7013964	tgn,7014345	163
tgn,7013964	tgn,7014299	213
tgn,7013964	tgn,7014278	539
tgn,7013964	tgn,7014231	3792
tgn,7013964	tgn,7014197	505
tgn,7013964	tgn,7014175	285
tgn,7013964	tgn,7014060	372
tgn,7013964	tgn,7013988	742
tgn,7013964	tgn,7013981	880
tgn,7013964	tgn,7013980	75
tgn,7013964	tgn,7013972	310
tgn,7013964	tgn,7013964	17907
tgn,7013962	tgn,7021610	797
tgn,7013962	tgn,7018995	894
tgn,7013962	tgn,7018023	1632
tgn,7013962	tgn,7017751	149
tgn,7013962	tgn,7017750	704
tgn,7013962	tgn,7017708	1095
tgn,7013962	tgn,7017649	454
tgn,7013962	tgn,7017544	166
tgn,7013962	tgn,7017498	277
tgn,7013962	tgn,7017496	490
tgn,7013962	tgn,7017444	492
tgn,7013962	tgn,7016154	2049
tgn,7013962	tgn,7016129	369
tgn,7013962	tgn,7014729	105
tgn,7013962	tgn,7014664	529
tgn,7013962	tgn,7014631	441
tgn,7013962	tgn,7014629	231
tgn,7013962	tgn,7014620	443
tgn,7013962	tgn,7014538	221
tgn,7013962	tgn,7014487	677
tgn,7013962	tgn,7014456	371
tgn,7013962	tgn,7014444	1276
tgn,7013962	tgn,7014406	3112
tgn,7013962	tgn,7014404	399
tgn,7013962	tgn,7014345	97
